uid,party,year,sentence_text,sentence_context,code,gold_label
UID14370,Labour,2001,"We will cut back the red tape associated with regulation, examine opportunities to put time limits on regulations, deregulate by secondary legislation, and offer help to small firms.","In the labour market, minimum standards for people at work offer dignity and self-esteem. Regulation should be introduced, where it is necessary, in a light-touch way. WE WILL CUT BACK THE RED TAPE ASSOCIATED WITH REGULATION, EXAMINE OPPORTUNITIES TO PUT TIME LIMITS ON REGULATIONS, DEREGULATE BY SECONDARY LEGISLATION, AND OFFER HELP TO SMALL FIRMS. Over 150,000 small businesses have been set up since 1997. We will develop the Small Business Service as an advocate for small business in government and a servant of small businesses around the country.",-1.0,0
UID19941,Labour,2010,"To ensure Britain's infrastructure needs are properly resourced, we will work in partnership with the private sector, reforming the regulation of energy to improve incentives for the private sector to invest.","We will seek to reduce the costs of regulation by more than £6 billion by 2015. 21st Century Infrastructure. The key to creating the industries of the future is renewing the national infrastructure on which firms rely. TO ENSURE BRITAIN'S INFRASTRUCTURE NEEDS ARE PROPERLY RESOURCED, WE WILL WORK IN PARTNERSHIP WITH THE PRIVATE SECTOR, REFORMING THE REGULATION OF ENERGY TO IMPROVE INCENTIVES FOR THE PRIVATE SECTOR TO INVEST. We will establish a Green Investment Bank to invest in low-carbon infrastructure, with the Government's stake funded by the sale of infrastructure assets. The Government will seek to match its contribution with at least £1 billion of private-sector investment.",-1.0,0
UID15523,Liberal Democrats,1997,"We will increase the amount of income which people can receive before they start to pay income tax by £200 per year to £4,245.","Costing our commitment. We have issued alongside this manifesto a Costings Supplement to show in detail how our proposals will be financed. We will raise the basic rate of income tax by one penny in the pound - from 23p to 24p - to help finance our £2bn per year programme of Education investment. WE WILL INCREASE THE AMOUNT OF INCOME WHICH PEOPLE CAN RECEIVE BEFORE THEY START TO PAY INCOME TAX BY £200 PER YEAR TO £4,245. This tax cut will be paid for by introducing a new rate of income tax of 50%, payable on taxable income of over £100,000 per year. Half a million people will be freed from income tax altogether.",-1.0,0
UID2210,Conservatives,1987,"At the same time, by maintaining high starting wages comparable to those of fully trained craftsmen, trade unions have kept many of them out of work.","Although youth unemployment has declined in the last year it still remains a problem. Far too many of our youngsters leave school with an education that has failed to prepare them for the world of work. AT THE SAME TIME, BY MAINTAINING HIGH STARTING WAGES COMPARABLE TO THOSE OF FULLY TRAINED CRAFTSMEN, TRADE UNIONS HAVE KEPT MANY OF THEM OUT OF WORK. In 1983 we introduced the first Youth Training Scheme. It is now a national two-year programme aimed at giving young people qualifications for work.",2.0,1
UID6209,Labour,1987,"Labour's objective is to broaden and deepen the liberty of all individuals in our community: to free people from poverty, exploitation and fear to free them to realise their full potential to see that everyone has the liberty to enjoy real chances, to make real choices.","When the Tories talk of freedom, they mean freedom for the few, for those who can afford to buy privilege. What they mean, as their record so plainly shows, is more tax cuts for the rich and less help for the poor and for that great majority who are neither rich nor poor. LABOUR'S OBJECTIVE IS TO BROADEN AND DEEPEN THE LIBERTY OF ALL INDIVIDUALS IN OUR COMMUNITY: TO FREE PEOPLE FROM POVERTY, EXPLOITATION AND FEAR TO FREE THEM TO REALISE THEIR FULL POTENTIAL TO SEE THAT EVERYONE HAS THE LIBERTY TO ENJOY REAL CHANCES, TO MAKE REAL CHOICES. It means collective provision for private use. The British people know that this is the most effective way for them to secure their freedom as individuals whilst meeting the moral obligations which they feel towards others and seeing that fairness is a way of national life, not just a fine word.",-1.0,0
UID6184,Liberal Democrats,2010,"Tax fairness for everyone. Under a Liberal Democrat government, you will not have to pay any income tax on the first £10,000 you earn.","We will cut taxes for millions of working people and pensioners, paid for by making sure that the very wealthy pay their fair share and that polluting air travel is properly taxed. We will boost the state pension by immediately restoring the link with earnings growth. TAX FAIRNESS FOR EVERYONE. UNDER A LIBERAL DEMOCRAT GOVERNMENT, YOU WILL NOT HAVE TO PAY ANY INCOME TAX ON THE FIRST £10,000 YOU EARN. This will put £700 back into the pockets of millions of people on low and middle incomes and free 3.6 million more people on low incomes from having to pay any income tax at all. In this way, we will help people who are struggling to make ends meet and provide an incentive to work and save.",-1.0,0
UID10230,Conservatives,1987,by returning nationalised industries to the people in ways that encourage the widest possible spread of ownership,That is something we must all achieve by our own efforts. But what this Conservative Government has done is to make it easier for people to acquire independence for themselves: by introducing the right to buy council houses BY RETURNING NATIONALISED INDUSTRIES TO THE PEOPLE IN WAYS THAT ENCOURAGE THE WIDEST POSSIBLE SPREAD OF OWNERSHIP by making it easier to buy shares in British industry through employee share schemes and Personal Equity Plans. These opportunities - all too often introduced n the teeth of fierce resistance from the Opposition parties - have achieved spectacular results.,2.0,1
UID18725,Labour,2001,We have said that Private Finance Initiative (PFI) should not be delivered at the expense of the pay and conditions of the staff employed in these schemes.,"And we will build 100 new hospital developments by 2010 and 500 one-stop primary care centres, with over 3,000 GP premises modernised by 2004. We are investing an extra £7 billion of capital investment into the health service. WE HAVE SAID THAT PRIVATE FINANCE INITIATIVE (PFI) SHOULD NOT BE DELIVERED AT THE EXPENSE OF THE PAY AND CONDITIONS OF THE STAFF EMPLOYED IN THESE SCHEMES. We will seek ways in which, within the framework of PFI management, support staff could remain part of the NHS team. Photo Caption: More flexible working hours for NHS staff.",1.0,1
UID10404,Liberal Democrats,1997,"Investing in enterprise. Small business, enterprise and self-employment are the engine of a modern dynamic economy and a vital source of new jobs and growth.","Our aim is to extend the advantages of TESSAs and PEPs to a wider range of savers by developing a new save-as-you-earn scheme. We will encourage personal and portable pension plans. INVESTING IN ENTERPRISE. SMALL BUSINESS, ENTERPRISE AND SELF-EMPLOYMENT ARE THE ENGINE OF A MODERN DYNAMIC ECONOMY AND A VITAL SOURCE OF NEW JOBS AND GROWTH. We will: Support small and medium-sized businesses. We will encourage the banks to develop new sources of private finance, including grants, equity finance and mutual guarantee schemes.",1.0,1
UID14676,Liberal Democrats,1997,"Central Government should inform taxpayers of the ways in which their money is raised and spent, just as local councils now do.","Some of the information which would be included is provided on the next page. This Annual Tax Contract will be in keeping with our four Tax Pledges:  1) No taxation without explanation. CENTRAL GOVERNMENT SHOULD INFORM TAXPAYERS OF THE WAYS IN WHICH THEIR MONEY IS RAISED AND SPENT, JUST AS LOCAL COUNCILS NOW DO. 2) No promises unless the bill is attached. People have the right to know the Government's priorities and how much they will cost.",-1.0,0
UID1353,Conservatives,2005,"As the other major parties are committed to joining the euro, only the Conservatives can make this pledge.","We will not join the Euro. By keeping the pound as our currency, control of our interest rates will continue to be set to meet the needs of the British economy. AS THE OTHER MAJOR PARTIES ARE COMMITTED TO JOINING THE EURO, ONLY THE CONSERVATIVES CAN MAKE THIS PLEDGE. Flexible Childcare and School Discipline. It's not easy bringing up a family in modern Britain. Parents who work hard to give their children the best start in life need a government that is on their side.",2.0,1
UID19745,Labour,2001,All lone parents will be invited to employment interviews to help them seek employment opportunities.,"On the basis of the evidence we will consider their extension to new areas and new claimant groups. We will build on the Action Teams for Jobs model, which is targeting 40 of the most severely disadvantaged areas, to tackle the employment gap for ethnic minorities, and devote £45 million to provide stepping stones into employment for the hardest to employ. ALL LONE PARENTS WILL BE INVITED TO EMPLOYMENT INTERVIEWS TO HELP THEM SEEK EMPLOYMENT OPPORTUNITIES. We will build on the lessons of the Choices programme, which offers help with learning, work and childcare. Partners of unemployed people with children, like those without children, will also be asked to interviews to discuss their options.",-1.0,0
UID11286,Conservatives,1992,OPPORTUNITY FOR ALL. Conservatives believe that high standards in education and training are the key to personal opportunity and national success.,"Parliament, too, has to keep its working methods under review to make sure it attracts the best people to the service of their country and uses their talents to best effect. We will propose appropriate Parliamentary reforms to ensure that the House of Commons conducts its business more efficiently and effectively, taking into account the benefits of modern technology, the increasing constituency demands upon Members of Parliament and the need to attract more women to stand for election. OPPORTUNITY FOR ALL. CONSERVATIVES BELIEVE THAT HIGH STANDARDS IN EDUCATION AND TRAINING ARE THE KEY TO PERSONAL OPPORTUNITY AND NATIONAL SUCCESS. We believe in partnership with parents, choice in schools and a good grounding in the basic skills all children need to make a success of their lives. We are committed to widening opportunities without compromising academic standards.",-1.0,0
UID12009,Conservatives,1987,We are pledged to measures to enable our fishermen to take full advantage of all their opportunities and to improve and modernise their boats.,and increasingly stringent conservation measures have secured the future for our fleets. We will introduce legislation to ensure that UK quotas are reserved for UK fishermen. WE ARE PLEDGED TO MEASURES TO ENABLE OUR FISHERMEN TO TAKE FULL ADVANTAGE OF ALL THEIR OPPORTUNITIES AND TO IMPROVE AND MODERNISE THEIR BOATS. Animal Welfare. The Conservatives have a proud record over the years of promoting animal welfare. Most of the legislation was either initiated by Conservative governments or introduced as Private Members' measures by Conservative MPs when the Conservatives were in office.,1.0,1
UID5555,Labour,2001,"People without assets are much more likely to have lower earnings and higher unemployment, and are less likely to start a business or enter higher education.","It is now time to add a fourth pillar to the welfare state a programme to extend to all children the advantages that come from reaching adulthood backed by a financial nest-egg. Nearly a third of individuals have no financial savings or assets at all. PEOPLE WITHOUT ASSETS ARE MUCH MORE LIKELY TO HAVE LOWER EARNINGS AND HIGHER UNEMPLOYMENT, AND ARE LESS LIKELY TO START A BUSINESS OR ENTER HIGHER EDUCATION. The government already encourages people to save for a rainy day and save for a pension. We are determined to extend the savings habit to more people.",1.0,1
UID4087,Labour,1992,Expanded childcare will help women return to work and undertake training.,"Our aim is to ensure that anyone who is unemployed for more than six months has a choice of job experience or training. We will also help the people often left out of good training opportunities, including the disabled, women returning after caring for children, and those with special educational needs. EXPANDED CHILDCARE WILL HELP WOMEN RETURN TO WORK AND UNDERTAKE TRAINING. A critical task is to upgrade the skills of people in work. Training and Enterprise Councils will be retained, reformed and made more broadly representative of their local communities and given stable budgets.",-1.0,0
UID24,Liberal Democrats,1987,CHILD BENEFIT. We will increase child benefit by £1 per child a week in the first year and by a further £1 per child a week in the second year.,A single person will receive £39.50 and a married couple £63.25. The net cost will be £268 million. CHILD BENEFIT. WE WILL INCREASE CHILD BENEFIT BY £1 PER CHILD A WEEK IN THE FIRST YEAR AND BY A FURTHER £1 PER CHILD A WEEK IN THE SECOND YEAR. MATERNITY GRANT. We will introduce a maternity grant of £150 for the first child born in every family and of £75 for the births of each subsequent child FAMILIES IN WORK. We will add £5 per week to the family credit due to be introduced in April 1968 as a replacement to family income supplement.,-1.0,0
UID4274,Conservatives,1987,There is no better yardstick of a party's fitness to govern that its attitude to inflation.,"The Opposition parties opposed nearly every aspect of this strategy. If even some of their policies were implemented today, higher borrowing and higher spending would once again unleash inflation. THERE IS NO BETTER YARDSTICK OF A PARTY'S FITNESS TO GOVERN THAT ITS ATTITUDE TO INFLATION. Nothing is so politically immoral as a party that ignores that yardstick. The Conservative Government will continue to put the conquest of inflation as our first objective.",2.0,1
UID7233,Labour,1997,"We see healthy profits as an essential motor of a dynamic market economy, and believe they depend on quality products, innovative entrepreneurs and skilled employees.","Labour offers business a new deal for the future. We will leave intact the main changes of the 1980s in industrial relations and enterprise. WE SEE HEALTHY PROFITS AS AN ESSENTIAL MOTOR OF A DYNAMIC MARKET ECONOMY, AND BELIEVE THEY DEPEND ON QUALITY PRODUCTS, INNOVATIVE ENTREPRENEURS AND SKILLED EMPLOYEES. We will build a new partnership with business to improve the competitiveness of British industry for the 21st century, leading to faster growth. Many of the fundamentals of the British economy are still weak.",-1.0,0
UID10399,Conservatives,1987,It failed and mining productivity has since soared.,"The new Conservative policies met bitter resistance every step of the way. Remember: The year-long coal strike, with its violence and intimidation on a massive scale. IT FAILED AND MINING PRODUCTIVITY HAS SINCE SOARED. The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget. We now get automatic rebates - this year, over £1.3 billion.",1.0,1
UID9112,Labour,1987,"The Anti-Poverty Programme. The spread of poverty in the past eight years has stained the whole nation, and widened misery and disadvantage amongst old and young.","We will extend the voluntary Job Release Scheme to men over 60 so that those who want to retire early vacate jobs for those who are currently unemployed. This could take as many as 160,000 people out of unemployment and into work. THE ANTI-POVERTY PROGRAMME. THE SPREAD OF POVERTY IN THE PAST EIGHT YEARS HAS STAINED THE WHOLE NATION, AND WIDENED MISERY AND DISADVANTAGE AMONGST OLD AND YOUNG. Much of it is the result of deliberate government policies. Millions of poor people endure it in despair.",-1.0,0
UID2693,Conservatives,1997,We will transfer Parcelforce to the private sector whilst ensuring that every Post Office in the land continues to provide a full parcel service at an economical price.,"The Royal Mail must face up to the challenges and opportunities that are arising from increasing competition and the international liberalisation of services. We will guarantee to preserve the national identity, universal service and distinctive characteristics of the Royal Mail, while considering options - including different forms of privatisation - to introduce private capital and management skills into its operations. WE WILL TRANSFER PARCELFORCE TO THE PRIVATE SECTOR WHILST ENSURING THAT EVERY POST OFFICE IN THE LAND CONTINUES TO PROVIDE A FULL PARCEL SERVICE AT AN ECONOMICAL PRICE. Privatisation works. We will therefore continue to pass government activities into private ownership where this can bring benefits to consumers and taxpayers.",-1.0,0
UID18220,Liberal Democrats,2010,The poorest fifth of the population pay a higher proportion of their income in tax than the richest fifth.,"These changes are desperately needed. Conservative and Labour governments have changed Britain into one of the most unequal societies in the developed world, where ordinary people struggle to make ends meet while the richest benefit from tax breaks. THE POOREST FIFTH OF THE POPULATION PAY A HIGHER PROPORTION OF THEIR INCOME IN TAX THAN THE RICHEST FIFTH. We set out in this manifesto a clear plan to bring the budget back under control, being honest about the tough choices we need to take. We will cut taxes for millions of working people and pensioners, paid for by making sure that the very wealthy pay their fair share and that polluting air travel is properly taxed.",-1.0,0
UID10693,Conservatives,1997,"Since then, we have cut the basic rate of income tax from 25p to 23p, and extended the 20p band so that over a quarter of all taxpayers now only pay income tax at the 20p rate.","Our aim is to ensure Britain keeps the lowest tax burden of any major European economy. In the election manifesto of 1992, we promised that We will make further progress towards a basic income tax rate of 20p. SINCE THEN, WE HAVE CUT THE BASIC RATE OF INCOME TAX FROM 25P TO 23P, AND EXTENDED THE 20P BAND SO THAT OVER A QUARTER OF ALL TAXPAYERS NOW ONLY PAY INCOME TAX AT THE 20P RATE. Achieving our public expenditure goals will mean we can sustain permanently low tax levels. Over the next parliament, our aim will be to achieve our target of a 20p basic rate of income tax, while maintaining a maximum tax rate of no more than 40p.",1.0,1
UID5705,Conservatives,1992,We believe that franchising provides the best way of achieving that.,"We will give them that chance. Our plans for the railways are designed to bring better services for all passengers as rapidly as possible. WE BELIEVE THAT FRANCHISING PROVIDES THE BEST WAY OF ACHIEVING THAT. Long term, as performance improves and services become more commercially attractive as a result of bringing in private sector disciplines, it will make sense to consider whether some services can be sold outright. In the next Parliament: By franchising, we will give the private sector the fullest opportunity to operate existing passenger railway services.",2.0,1
UID13808,Labour,1987,The Home Office will remain responsible for regulatory and statutory powers in relation to broadcasting.,"We will set up a Sports Trust to channel resources into the development of community sporting facilities and the attraction of major international sporting events to Britain. We will establish a Ministry for the Arts and Media with responsibility for the arts, crafts, public libraries, museums, film, publishing, the press, the record industry, the development of broadcasting and access to it, fashion, design, architecture and the heritage. THE HOME OFFICE WILL REMAIN RESPONSIBLE FOR REGULATORY AND STATUTORY POWERS IN RELATION TO BROADCASTING. The development of central and local government support for the arts, culture and entertainment is essential to the extension of choice, access and participation, and to the development of the related industries. We will protect the independence of the BBC and the independent broadcasting organisations.",-1.0,0
UID2024,Conservatives,1987,Owning a direct stake in industry not only enhances personal independence,"Only the Americans, where a quarter of the people are shareholders, remain ahead - and the gap is narrowing. This is the first stage of a profound and progressive social transformation - popular capitalism. OWNING A DIRECT STAKE IN INDUSTRY NOT ONLY ENHANCES PERSONAL INDEPENDENCE it also gives a heightened sense of involvement and pride in British business. More realistic attitudes to profit and investment take root.",2.0,1
UID18057,Conservatives,1987,Young people were reluctant to save for a retirement which seemed far away.,"Half of the working population are in occupational pension schemes, but in 1979 only seven per cent of the population held shares. People were deterred by the sheer unfamiliarity of owning shares. YOUNG PEOPLE WERE RELUCTANT TO SAVE FOR A RETIREMENT WHICH SEEMED FAR AWAY. And most tax incentives encouraged saving through institutions rather than directly. With a Conservative Government, all that has been changing.",1.0,1
UID14833,Conservatives,1992,"We will continue to target help through the Rural Development Commission, and ask the RDC to review the Rural Development Areas to ensure that its efforts are targeted on the areas of most need.","We will introduce a balanced package of measures, including decommissioning and controls on fishing activity, to conserve fish and safeguard the future of the industry. RURAL JOBS AND SERVICES. Changes in agriculture and other traditional industries will affect employment opportunities in the countryside. WE WILL CONTINUE TO TARGET HELP THROUGH THE RURAL DEVELOPMENT COMMISSION, AND ASK THE RDC TO REVIEW THE RURAL DEVELOPMENT AREAS TO ENSURE THAT ITS EFFORTS ARE TARGETED ON THE AREAS OF MOST NEED. We are committed to developing tourism in ways which provide all-year-round jobs and bring benefit to less well-known parts of our countryside, without damaging the environment. We have recently published new planning policy guidance which makes it clear how the countryside can benefit from new businesses and jobs, if the location and design of development are handled with sensitivity.",-1.0,0
UID18577,Conservatives,1987,But retired people value their independence.,"Total spending on state pensions and benefits for elderly people has risen by 29 per cent after allowing for inflation. We will continue to maintain the value of the state retirement pension. BUT RETIRED PEOPLE VALUE THEIR INDEPENDENCE. They do not want to rely on the State alone for their income nor, increasingly, are they doing so. We share Beveridge's original goal of a good basic pension from the State, together with a second income from occupational and personal pensions and savings.",1.0,1
UID9276,Conservatives,1987,high taxation prevents them doing so.,"As a party committed to the family and opposed to the over-powerful State, we want people to keep more of what they earn, and to have more freedom of choice about what they do for themselves, their families and for others less fortunate. Governments should trust people to spend their own money sensibly and decently HIGH TAXATION PREVENTS THEM DOING SO. That is why we have: cut the basic rate of tax from 33p to 27p in the £, and increased the personal allowances (the starting point for paying tax) by 22 per cent more than inflation. If Labour's tax regime were still in force, the family man on average earnings would today be paying more than £500 per year in extra income tax: a headmaster married to a nurse would be paying more than £1,300 extra",1.0,1
UID19878,Liberal Democrats,1987,Basic research is seriously underfunded.,"EDUCATION: THE ESSENTIAL INVESTMENT. We will increase investment in education and training by an additional £2 billion per annum beyond that planned by the Conservatives by the fifth year. Britain lags far behind our main industrial competitors in the proportion of our people who receive higher education, further education and skill training. BASIC RESEARCH IS SERIOUSLY UNDERFUNDED. As a result, industry lacks the qualified and skilled people it needs, and individuals are not given the chance to develop their potential. We aim: To widen access to education",1.0,1
UID1398,Labour,2010,In the UK the new Council for Financial Stability will monitor and help address asset bubbles and financial imbalances.,"We will compel banks to keep more capital and create 'living wills' so that should they fail there will be no danger of that failure spreading. Because the banking crisis demonstrated the global nature of financial instability, we will continue to work with our international partners to require all banks to hold more and better-quality capital, to ensure counter-cyclical protection, and to introduce a global levy on financial services so that banks across the world contribute fairly to the society in which they are based. IN THE UK THE NEW COUNCIL FOR FINANCIAL STABILITY WILL MONITOR AND HELP ADDRESS ASSET BUBBLES AND FINANCIAL IMBALANCES. We will give the FSA additional powers if necessary to constrain and quash executive remuneration where it is a source of risk and instability. If there is evidence of bonus rules being evaded, we will act.",-1.0,0
UID13308,Conservatives,1992,"When inflation falls, industry can plan again for a profitable future.","But we must drive inflation down so low that it no longer affects the decisions made by ordinary people, businesses and government. When inflation rises, so do bankruptcies. WHEN INFLATION FALLS, INDUSTRY CAN PLAN AGAIN FOR A PROFITABLE FUTURE. Inflation creates strife, as different groups in society struggle to restore their living standards. It destroys jobs.",1.0,1
UID2026,Liberal Democrats,2001,The review will follow the recommendations of the Low Pay Commission.,"Instead, we will provide for individuals aged 60 and over who wish to work to have an assessment of their ability to continue their job as part of an annual appraisal process. Review the minimum wage annually. THE REVIEW WILL FOLLOW THE RECOMMENDATIONS OF THE LOW PAY COMMISSION. Equal work deserves equal pay, so we will also extend the full Minimum Wage to all those aged 16 and over, abolishing the lower rate paid to people under 21. Promote consultation of employees.",-1.0,0
UID10413,Labour,2001,We have given the Post Office greater commercial freedom in the public sector.,"There will be increased incentives for people to take over and modernise post offices. Business customers, representing by far the majority of the Post Office's turnover, want a full range of express, parcels and logistics services. WE HAVE GIVEN THE POST OFFICE GREATER COMMERCIAL FREEDOM IN THE PUBLIC SECTOR. It needs to be able to gain an advantage in the new postal market and become a leading force in domestic and international postal services through alliances and joint ventures. We want to help the Post Office keep up with the best in a fast-changing market.",1.0,1
UID2791,Liberal Democrats,1992,"4.Britain's People: Healthier, Safer and Better Housed. Liberal Democrats will invest in local services to enable communities to thrive.","We will immediately increase the science budget to 0.35% of GDP, and raise it steadily thereafter. We will establish a new Humanities Research Council. 4.BRITAIN'S PEOPLE: HEALTHIER, SAFER AND BETTER HOUSED. LIBERAL DEMOCRATS WILL INVEST IN LOCAL SERVICES TO ENABLE COMMUNITIES TO THRIVE. Our aim is to ensure that individuals of all backgrounds and means can live free of the fear of sickness, poverty and crime. The steps we outline in this paper are necessary to create a fair, democratic and prosperous society, in which individuals are able to make their voice heard and develop their talents and skills to the full.",-1.0,0
UID12147,Labour,1997,All young people will be offered part-time or full-time education after the age of 16.,"Rights and responsibilities must go hand in hand, without a fifth option of life on full benefit. Every 16 and 17 year-old on the road to a proper qualification by the year 2000. Nearly a third of young people do not achieve an NVQ level two qualification by age 19. ALL YOUNG PEOPLE WILL BE OFFERED PART-TIME OR FULL-TIME EDUCATION AFTER THE AGE OF 16. Any under-18 year-old in a job will have the right to study on an approved course for qualifications at college. We will replace the failed Youth Training scheme with our new Target 2000 programme, offering young people high-quality education and training.",-2.0,0
UID11118,Conservatives,2010,"the Big Society, not big government.","one that relies on top-down government intervention and bureaucratic micro-management. So we need a new approach: social responsibility, not state control THE BIG SOCIETY, NOT BIG GOVERNMENT. Only in this way will we tackle the causes of poverty and inequality, rather than just the symptoms. Only in this way will we transform the quality of our public services.",2.0,1
UID4923,Conservatives,1987,Their companies have been released from the detailed controls of Whitehall and given more freedom to manage their own affairs.,The overwhelming majority of employees have become shareholders in the newly privatised companies. They want their companies to succeed. THEIR COMPANIES HAVE BEEN RELEASED FROM THE DETAILED CONTROLS OF WHITEHALL AND GIVEN MORE FREEDOM TO MANAGE THEIR OWN AFFAIRS. And they have been exposed to the full commercial disciplines of the customer. Even former monopolies now face increased competition.,1.0,1
